LFPR,unemployment_rate,salary_expectation
28.28,20.76,22022
60.8,15.93,7125
51.88,26.11,21748
47.33,25.8,43638
28.91,33.43,45441
31.15,19.66,43518
39.32,14.68,30289
34.68,34.38,9632
58.72,26.45,49243
57.46,16.65,31734
49.53,21.22,31069
50.95,30.05,11738
49.36,16.08,24123
32.68,20.85,22260
47.91,22.82,33024
36.59,17.28,10622
46.63,27.52,16613
33.2,14.82,32446
57.27,23.27,29818
38.16,23.59,5117
45.74,15.29,23935
59.55,14.63,15954
49.15,28.13,27700
41.71,15.67,31386
43.99,23.14,41976
45.03,25.69,47533
55.44,22.53,25618
49.82,15.6,5009
54.46,14.95,14865
52.45,25.8,24216
25.5,23.52,32534
38.47,28.06,45752
47.52,27.41,17219
43.44,14.34,10415
43.65,25.18,10951
54.52,24.16,35523
36.91,24.99,26204
47.01,21.85,25611
31.49,34.64,22449
51.17,29.4,33173
54.99,20.18,12804
47.08,18.1,24096
32.66,17.31,16246
59.19,23.66,9018
54.29,17.58,46157
42.05,15.33,26951
43.0,12.14,10788
55.19,29.41,15789
44.57,13.94,49028
33.01,21.66,24029
49.42,27.29,42380
56.64,16.3,28710
43.36,18.66,11359
44.2,16.11,19382
40.27,36.01,8756
52.82,23.74,38561
35.55,20.71,39884
40.71,14.64,15541
40.45,26.64,15457
50.34,13.36,31215
54.16,28.29,24915
39.23,22.41,25530
54.09,21.34,49327
26.97,26.34,24256
41.96,20.06,42430
39.38,20.08,14524
42.06,19.28,44224
49.6,26.7,13577
35.97,12.36,13666
38.74,11.33,9971
65.38,26.34,6990
36.33,28.08,24097
32.39,21.6,43356
41.77,20.89,42011
34.44,21.03,36195
46.99,16.32,6759
34.01,18.3,31838
42.48,28.7,7717
43.72,22.34,25908
49.62,27.17,38536
55.27,29.21,33865
52.91,24.93,30522
32.66,38.59,17342
36.12,22.7,15093
53.8,30.06,21438
57.77,15.97,15998
35.62,22.45,35678
33.36,18.2,29160
54.7,30.74,18575
43.67,31.52,23922
60.88,29.25,46124
37.72,37.45,11150
51.0,17.88,21032
34.64,21.65,13705
65.32,23.5,28236
33.39,15.52,42334
33.03,10.37,19596
38.88,35.37,12083
28.59,17.66,48861
38.97,16.29,7106
58.84,19.51,25607
53.37,18.87,17808
44.25,21.31,46196
41.35,29.28,46401
49.02,19.06,13996
40.22,22.39,44952
50.16,19.04,17875
50.02,17.51,13646
39.2,21.97,16664
53.57,18.32,25609
36.99,17.44,24250
40.05,26.29,29063
55.47,19.55,29762
52.28,26.15,28150
66.62,16.49,34077
22.94,15.28,6762
47.25,31.4,17112
38.03,19.12,37921
46.23,15.81,39888
36.86,24.36,14130
45.95,30.33,18350
60.86,23.97,26520
60.51,16.81,33470
56.75,29.26,5338
49.97,28.09,16344
47.48,34.57,20896
59.1,19.12,16918
48.1,17.43,32935
43.17,34.24,9806
25.62,13.1,29070
40.92,17.44,20023
55.86,14.61,41062
53.86,28.07,30510
51.34,17.71,29077
49.89,14.58,40435
49.74,16.92,17651
39.17,33.56,33535
47.56,22.89,32345
37.61,17.39,18737
35.86,21.56,5545
38.64,26.99,34430
65.98,26.12,35586
61.94,18.63,21371
45.42,33.95,23155
57.52,11.89,42129
47.68,24.47,15816
35.16,16.67,7050
57.58,15.28,37913
35.01,24.4,45600
33.35,23.92,9494
39.53,30.5,28895
49.66,20.7,5806
58.37,38.6,45970
44.05,11.81,20934
38.92,15.11,41332
60.72,31.17,19199
38.5,16.79,13245
44.75,14.25,31685
67.89,13.65,29578
34.71,20.9,15222
39.05,20.27,42443
58.32,25.32,28874
36.19,32.33,37284
47.66,20.57,20585
44.25,27.67,38742
56.86,24.09,14903
52.5,20.74,25420
55.2,17.09,6591
47.86,33.06,11183
58.36,26.72,12314
54.04,31.93,7139
42.92,20.64,25670
48.97,19.01,27534
28.15,28.08,7719
48.05,17.81,41509
45.76,23.13,15177
36.61,18.69,14882
39.79,27.05,17987
32.27,21.18,6007
54.24,19.53,47207
57.2,23.2,6435
35.08,17.22,18507
33.21,21.37,12491
40.02,20.15,13073
52.21,17.95,25953
49.83,20.04,32083
38.74,16.52,49064
51.11,15.74,34241
32.03,13.93,16745
32.91,23.1,46846
46.78,14.6,22482
36.2,23.24,49413
26.53,25.62,37347
53.72,17.86,39450
36.23,18.49,10626
44.9,33.8,6980
28.01,19.59,24440
47.93,16.5,23639
54.3,31.89,26563
51.3,21.54,13782
51.61,21.54,25017
35.94,28.29,46652
55.36,35.66,20251
35.52,20.82,16536
46.22,28.88,39531
32.82,30.03,10109
37.78,28.63,40201
35.66,15.73,41935
51.94,28.99,31589
40.0,29.1,31143
57.71,21.15,46688
39.19,20.74,37981
44.47,34.96,14768
50.54,19.99,40488
48.79,17.68,27431
40.48,21.05,28116
24.36,24.18,48201
39.24,19.84,30003
25.14,33.11,11090
46.39,24.4,38320
59.27,35.77,41679
48.18,29.79,29826
52.53,19.27,38226
52.52,23.23,13601
46.43,22.9,26288
43.74,20.56,12179
35.41,18.57,6560
61.28,11.36,9780
37.46,18.85,49662
36.85,23.87,15181
53.58,28.84,5661
46.8,28.01,19025
50.1,20.01,44004
57.21,14.31,12005
60.82,27.26,5956
44.06,28.77,41221
67.63,35.06,44063
45.64,18.9,30849
49.76,28.89,27015
45.79,24.02,17201
67.76,30.28,47229
35.97,29.45,24342
29.07,21.9,24975
56.98,23.31,5525
67.14,14.92,38142
51.11,23.59,35523
50.15,10.72,37781
49.79,10.53,40984
49.73,26.47,31616
38.27,23.09,18760
55.2,29.41,37419
45.08,32.91,49738
35.26,18.95,15831
46.87,22.81,47240
35.48,21.51,43663
27.01,20.0,11099
49.38,32.7,40946
36.24,28.69,41336
53.16,31.45,19135
38.18,23.06,39707
30.09,17.48,21001
23.55,23.36,20360
31.66,17.1,25677
58.65,21.38,46235
51.6,17.21,6239
53.65,24.91,14110
58.01,32.01,17115
43.65,13.53,46974
58.18,26.01,45287
57.36,19.61,27473
28.53,32.56,33625
49.12,16.93,34259
41.39,22.62,42208
38.47,29.21,24508
58.01,31.37,31984
51.98,19.61,45901
37.54,11.49,12848
41.27,21.48,40941
31.81,15.98,31213
64.34,16.8,30426
64.07,21.72,8712
28.17,31.24,8726
50.91,15.94,42574
38.45,20.96,22824
39.13,34.14,33144
49.61,31.39,16207
58.05,30.93,30537
57.9,20.5,40631
53.42,11.63,31523
45.41,19.22,16563
36.3,28.71,13234
43.54,24.36,18178
53.64,32.15,29596
45.3,21.52,13906
33.4,29.56,18076
26.99,24.2,12151
43.69,26.81,32117
38.17,25.94,47641
44.0,22.77,48596
43.43,14.04,49139
43.44,18.55,12052
55.8,14.84,13636
45.7,19.21,29611
52.47,19.35,26675
33.3,31.7,18673
55.81,26.49,42384
57.4,18.5,15617
45.1,33.48,40993
45.67,18.49,44575
42.03,38.41,5145
61.0,28.5,8040
39.06,19.72,22633
46.19,22.5,19996
44.4,17.45,14160
33.73,30.25,44420
42.28,25.33,37117
45.37,28.9,37496
38.12,22.78,36007
46.22,15.41,17323
38.8,26.84,7472
40.51,17.97,11704
30.1,29.99,9255
48.2,28.93,39503
37.73,21.93,45194
43.71,22.24,10249
51.96,17.35,37007
45.41,24.84,35137
48.07,10.02,28197
45.51,20.26,8083
55.86,36.63,39447
49.48,19.57,12446
67.77,26.82,46323
39.31,29.37,21669
30.67,20.64,31342
63.94,17.79,16023
33.89,17.52,21163
41.09,32.05,27641
42.39,29.69,23880
31.17,20.92,43067
54.2,28.39,29837
59.58,29.81,15382
39.42,31.16,12629
56.18,29.8,33495
37.68,22.16,29226
43.21,27.96,25609
45.25,26.42,34984
65.68,24.24,10901
66.58,13.97,28429
26.39,30.86,40732
66.97,26.11,16871
49.83,36.06,13734
35.17,17.22,17677
38.01,15.59,17330
42.56,26.06,44922
44.93,20.44,47913
61.85,24.62,31526
52.85,19.87,30032
24.24,26.54,33861
29.96,36.48,11406
53.28,22.22,39406
38.87,25.34,48108
56.72,13.93,17411
63.44,32.82,20422
57.62,14.13,19818
39.03,31.65,31715
49.61,16.37,8716
32.33,24.85,9481
55.71,22.53,48668
54.81,24.91,45761
37.71,25.92,29817
56.88,24.61,21052
54.44,26.01,9798
36.98,26.94,34300
41.74,20.61,33411
57.55,13.92,12394
51.78,13.26,48404
25.99,13.77,35911
42.64,23.66,8631
45.64,23.08,28561
55.44,28.82,46674
36.86,29.31,33602
48.68,26.98,30431
54.47,16.45,35111
23.43,24.94,33758
53.49,17.52,12788
23.07,16.75,21531
60.13,26.19,49857
57.12,23.47,43098
47.84,27.96,33138
62.92,16.49,15759
35.95,8.59,47533
48.97,26.06,40144
43.46,30.3,30538
61.24,27.56,17504
53.91,26.15,25669
31.76,21.38,10978
61.4,23.37,38548
62.35,23.06,34921
41.84,22.02,28953
40.96,16.81,44896
36.91,21.44,17275
27.92,15.03,38453
28.38,30.34,17258
54.38,18.58,42643
59.57,22.27,39964
57.26,31.5,28911
48.73,27.21,34334
38.35,28.92,25714
36.08,25.01,28387
56.53,26.8,49638
46.65,16.7,25567
50.75,20.05,6376
47.25,14.45,13894
64.31,21.33,41068
36.8,14.29,46321
54.25,17.65,21832
30.34,27.49,26727
41.33,32.68,39196
43.99,35.63,19566
43.26,26.09,24363
38.16,27.89,24033
38.33,27.62,18944
66.74,19.64,28928
63.26,17.25,17087
47.06,38.57,22081
59.66,17.37,6013
55.79,9.81,6828
39.63,30.21,32766
54.23,21.18,41060
55.4,14.87,34750
43.09,34.37,41727
46.15,30.26,33731
41.66,24.91,8390
49.23,19.23,48934
62.75,24.7,15258
41.85,11.72,15720
30.66,14.61,6651
36.98,20.55,17448
40.64,28.76,39051
48.58,26.34,35254
57.19,29.97,19472
36.96,17.71,33272
55.57,21.1,37373
40.96,15.28,28284
29.68,19.46,30122
63.26,30.07,27436
52.43,23.61,30279
40.42,16.78,20078
65.12,20.9,34312
65.68,26.45,28252
34.07,18.0,14067
51.61,25.09,37591
43.14,17.09,39782
39.96,28.99,35508
57.59,15.46,35314
40.33,22.2,37262
40.59,21.74,19289
35.84,27.7,46903
66.1,17.38,16929
59.92,10.87,23745
57.39,31.94,33228
44.96,25.78,23322
41.26,22.13,34055
58.51,23.35,7336
37.7,18.67,37316
54.28,13.02,49629
48.47,17.21,6633
46.54,21.83,18140
42.23,19.34,19357
51.87,22.87,35575
51.8,23.81,8750
53.38,22.58,35651
42.68,17.15,21994
42.94,29.71,14283
50.7,27.4,35933
35.66,21.05,32624
48.81,23.92,44961
34.82,32.66,25354
65.28,20.04,28648
43.16,17.53,31390
46.66,28.07,18489
43.87,16.75,11411
43.7,17.25,38243
41.37,16.38,26384
43.88,29.87,27447
45.43,20.1,24909
51.8,25.91,24206
64.92,27.87,6898
67.51,33.6,48936
38.91,29.15,22071
36.56,28.18,7307
51.65,20.28,36852
67.52,14.28,6283
48.61,26.28,48360
38.88,20.73,31515
47.75,17.39,14587
65.55,18.19,5645
36.14,20.99,31475
47.42,19.28,21087
42.06,24.59,46945
39.33,26.95,25215
40.6,31.49,48553
48.44,23.08,18230
51.07,14.89,46855
48.57,23.57,11980
45.62,22.86,17576
25.79,21.76,27433
40.09,21.39,6958
27.01,21.76,43547
36.38,17.17,14794
58.82,11.05,27424
40.06,25.81,14528
47.12,19.58,49333
38.98,19.69,38160
45.65,17.44,34516
64.23,21.56,27746
44.81,19.49,22761
53.94,13.59,14031
35.87,25.45,43429
38.54,26.8,28383
38.82,33.82,39518
61.18,18.78,24330
60.62,15.61,29264
56.85,35.01,34304
36.45,30.11,9493
24.05,17.24,48472
29.26,22.44,11816
39.95,22.23,16240
47.0,14.41,37808
49.8,34.86,10374
24.37,23.8,40292
34.88,17.99,5778
67.86,28.59,6492
56.94,18.53,47946
42.65,16.07,12156
64.37,27.95,49096
38.75,29.0,38110
35.04,17.38,47856
48.22,20.62,28132
41.19,20.86,23230
53.37,15.46,36259
51.12,42.45,5193
40.15,15.65,16190
32.09,22.81,11716
52.17,13.57,46689
36.09,16.61,15332
36.19,18.61,34538
40.42,28.9,35519
55.73,11.52,26180
46.08,18.38,22087
47.38,18.5,10482
46.55,22.84,40634
54.4,18.71,8112
65.88,13.87,49199
44.65,21.82,49363
29.75,17.69,11588
37.28,28.54,38755
29.73,20.03,5726
39.22,32.29,6875
39.52,33.58,29995
43.07,25.69,37402
59.01,26.26,21715
40.41,20.4,24086
47.38,26.95,39610
39.81,27.01,14101
56.38,22.42,22154
49.72,28.47,16777
61.74,25.56,27785
28.35,18.23,33669
24.53,16.1,6998
33.31,27.12,14428
46.0,32.86,43392
24.02,17.24,15516
52.19,20.71,29950
38.28,33.55,15213
45.95,33.47,22858
41.5,30.87,44758
58.69,22.28,15233
39.1,21.46,6141
43.24,19.07,27967
42.97,24.25,21390
32.76,12.07,45379
39.37,22.14,49014
37.34,20.7,13767
56.17,15.57,5929
38.79,27.54,22438
42.65,17.32,23284
42.07,16.06,47138
38.27,19.84,42226
28.7,28.8,19138
36.41,16.28,7169
56.09,28.39,11139
44.36,19.33,30372
48.21,13.92,32716
32.62,30.03,7352
39.41,22.46,15582
35.21,32.25,14569
39.73,22.42,48949
42.32,32.76,31132
38.42,33.12,39395
39.49,21.99,20996
52.67,23.15,44420
51.82,17.16,25219
45.78,26.9,24218
44.04,8.6,23951
38.29,28.94,15238
56.92,17.86,6140
45.75,13.62,15485
35.92,29.28,31086
30.27,15.54,5557
33.03,28.31,18893
61.43,31.75,43635
60.64,12.65,17869
46.57,9.45,33064
48.88,20.52,7454
52.77,26.48,41593
49.77,18.16,8802
60.94,21.39,46862
60.68,19.33,24503
41.36,29.95,26826
45.45,26.41,30518
32.57,25.31,32103
55.88,21.39,10845
36.03,29.9,17413
57.33,16.2,22611
38.32,10.75,25536
55.8,19.72,32810
38.43,22.93,6088
42.25,28.71,14764
44.6,19.72,13068
62.66,17.86,46160
46.41,22.17,33182
52.63,14.9,13605
55.31,22.22,15207
40.17,22.57,33220
53.26,17.57,45591
52.35,31.67,44233
40.86,22.68,40323
57.9,20.58,7951
45.99,20.42,41469
47.64,18.06,33454
61.37,38.27,39324
28.44,22.52,28864
53.59,10.6,28071
41.48,24.17,20369
57.11,15.44,17145
35.26,31.58,44323
46.7,12.47,23691
26.29,16.93,10590
42.76,14.61,20649
42.01,18.11,12016
38.0,18.36,28545
51.49,35.24,8167
55.5,15.77,19087
22.11,27.42,20275
35.06,15.28,24008
25.9,34.25,10793
48.76,19.05,48148
50.67,20.67,46157
40.68,16.78,37441
33.27,33.79,39716
59.12,20.14,11318
37.01,24.34,17180
40.35,21.66,38290
66.52,19.4,14821
51.03,14.63,6316
39.45,21.52,22508
57.97,13.15,6378
45.73,22.94,27161
28.09,18.54,43342
55.03,14.26,7257
53.59,18.67,34320
57.72,13.68,35154
45.89,31.68,47838
46.23,22.61,25360
60.16,21.75,24604
52.47,22.2,13547
55.46,29.0,7100
52.64,18.03,33172
32.58,29.95,44779
56.47,30.73,22058
43.93,12.88,41021
46.0,27.62,17828
37.57,33.08,31853
54.87,11.92,41982
47.64,29.43,7745
53.71,29.44,37245
45.97,17.52,25447
41.96,26.38,34336
42.44,20.2,25093
55.12,24.1,38487
51.23,18.98,25936
44.41,14.3,28303
35.74,19.34,49245
32.57,23.35,29770
56.1,19.62,38870
29.79,24.3,46475
34.27,32.07,21616
28.15,36.1,12659
63.42,13.67,36226
49.35,25.5,27794
65.19,22.04,12006
42.22,25.76,13682
48.16,34.49,29734
49.23,18.2,41081
36.92,22.9,40063
32.03,23.4,16185
32.63,21.07,26625
58.39,14.43,32076
50.83,17.31,36433
27.41,24.37,49254
33.5,9.15,32808
36.11,18.47,11474
35.26,27.9,47565
35.27,23.74,17867
45.11,22.8,44954
33.28,21.92,35873
58.95,14.36,19122
47.64,18.63,10366
61.19,22.1,15211
39.42,29.36,28360
50.81,24.97,27357
57.66,29.56,32691
38.86,21.24,48178
23.38,33.59,23601
59.87,12.76,10722
45.61,18.1,20514
41.87,17.96,17297
49.04,26.03,45695
52.45,27.99,33482
43.77,12.07,38396
40.66,32.59,46075
49.59,30.15,22076
45.21,23.76,20417
64.32,17.51,35099
34.63,20.03,25584
28.86,29.09,30792
30.47,16.43,24164
50.94,31.62,7871
50.76,27.1,48410
26.31,30.27,19534
55.41,15.62,14065
64.67,25.84,40948
47.95,28.5,21998
22.98,23.73,49525
44.28,20.02,49314
53.07,30.42,35908
38.58,18.8,24459
42.55,21.49,32056
50.76,11.44,21964
43.75,12.64,42044
39.64,24.38,47633
44.02,5.88,24540
38.04,16.94,27318
27.73,29.5,24493
50.48,20.62,27412
40.68,30.68,40517
36.14,24.86,28736
49.13,20.47,41218
48.27,14.41,23375
57.83,12.5,49602
38.62,28.99,35881
51.42,27.99,13712
46.46,33.55,7832
56.05,20.21,27963
48.8,20.15,7800
53.42,26.66,47712
33.41,10.59,6914
52.11,15.64,30582
57.85,20.17,41432
38.93,30.85,5680
38.07,26.88,47291
32.72,21.8,41176
54.86,20.12,39998
54.48,32.88,17112
55.59,14.82,38919
55.2,13.23,46328
39.05,27.88,32962
47.03,29.91,9997
39.55,23.0,23624
37.27,24.1,49367
56.0,19.52,18794
66.57,19.54,9986
52.31,28.37,32798
31.5,22.46,24477
29.51,19.12,46334
49.15,21.23,29335
39.43,23.05,21199
33.56,18.2,5112
33.74,18.89,21523
40.64,16.52,24552
56.17,31.02,5887
45.51,23.63,35013
48.33,23.51,31049
38.16,10.77,12846
58.14,16.32,20950
25.49,24.0,27742
35.04,23.04,28580
31.76,24.01,20166
34.03,20.69,43556
61.31,22.9,15561
53.14,25.03,19256
42.4,26.77,33230
36.49,18.34,46167
50.92,14.67,15825
39.86,16.37,33890
30.27,26.87,35949
58.87,31.77,34267
40.76,22.55,21193
50.3,30.38,41963
35.49,33.03,23689
55.63,23.57,23845
48.4,22.55,46243
50.09,22.24,5082
66.73,30.08,16683
44.18,27.52,35981
61.31,34.92,48664
37.81,21.4,12674
34.53,19.97,34038
49.7,23.13,29473
51.89,33.79,5859
39.26,21.14,15451
38.12,25.58,15278
54.16,18.59,42887
39.45,19.53,27520
44.74,14.51,22568
52.19,18.4,17625
54.55,27.04,9370
52.81,11.74,48326
50.5,17.2,36552
35.6,16.41,21986
43.13,28.47,28624
38.19,22.08,29170
43.05,24.56,31293
47.79,24.57,23257
56.91,28.54,9458
51.14,28.91,46701
51.48,11.77,10668
45.52,20.93,12697
51.32,20.9,12352
34.03,34.72,36957
46.73,22.62,13003
44.3,22.01,12296
41.66,35.01,6637
42.78,33.89,10103
50.28,17.98,36174
43.62,21.17,20954
37.29,28.34,16707
41.3,27.78,26225
48.61,10.71,19387
58.18,33.07,35444
50.58,20.1,31147
40.97,31.49,6200
54.29,23.42,44740
49.78,14.02,23978
61.83,33.62,37854
63.14,19.69,29527
56.32,12.22,32886
58.21,29.18,40468
42.68,14.47,10520
60.22,13.96,25929
40.9,26.92,18045
30.51,23.32,46680
58.45,20.14,26113
32.63,17.84,29690
50.23,20.21,31829
37.01,19.95,8630
38.59,20.24,42275
39.16,32.87,48370
44.87,12.82,40010
52.89,22.83,42865
50.36,12.0,6920
56.94,16.41,17207
42.87,23.27,32964
48.12,12.6,24071
41.43,15.02,20810
44.13,27.8,38584
52.2,34.06,37130
54.82,25.64,41468
58.45,16.45,41661
43.7,27.12,38272
35.82,14.47,11773
51.75,21.67,5717
40.14,26.66,9994
32.4,18.09,48949
59.05,19.47,46153
30.01,15.09,7581
60.29,27.32,30307
44.37,32.83,16312
62.11,13.61,7382
44.95,18.67,38402
30.1,15.87,13397
39.18,14.86,19394
49.08,20.23,7890
41.7,25.91,48626
46.94,29.63,47239
52.52,23.3,19683
35.11,28.47,31531
51.0,16.5,21633
32.51,23.41,16577
54.76,25.5,49386
60.27,13.15,26062
57.87,14.05,40710
59.25,34.59,15966
40.16,32.93,20935
44.25,22.06,24275
46.22,21.82,44178
31.41,32.3,45172
38.45,18.7,6629
50.37,15.8,26839
40.31,28.31,23945
35.52,19.67,12485
55.89,30.84,21767
57.1,25.26,17226
47.09,23.84,18440
41.89,35.59,5922
49.86,19.23,12957
57.5,29.69,30939
61.21,33.62,27867
22.93,28.98,44486
39.92,16.07,20228
54.72,32.33,40959
57.74,20.98,25143
64.64,17.36,21103
54.09,17.4,17742
49.3,20.06,49799
51.02,25.29,35746
57.74,33.51,42228
41.97,22.22,33302
50.83,25.85,15698
42.81,25.68,9594
34.41,12.62,11644
28.96,21.93,37933
35.98,14.94,41607
50.59,18.23,49386
44.07,19.74,15776
24.08,37.32,10660
49.22,27.3,44850
45.37,25.13,23642
49.14,19.37,8262
38.35,33.92,49594
57.83,19.4,7217
53.45,15.14,19232
62.98,14.31,24610
52.33,21.01,12031
42.91,37.93,18288
24.09,25.01,5917
55.98,24.81,23062
38.12,22.96,14941
60.46,24.36,49435
52.56,24.47,17192
47.14,30.11,6141
52.57,29.71,7690
58.45,19.88,30380
57.01,15.27,28989
38.65,27.51,16413
59.08,27.15,28513
48.43,27.39,30517
51.77,30.48,23950
48.5,27.88,45150
40.6,26.0,34768
67.2,21.51,38998
63.42,18.64,8805
41.06,35.29,18232
42.08,16.27,11953
44.32,27.67,30338
36.07,28.64,37101
61.56,30.46,31616
57.03,12.93,42099
41.79,28.75,30479
44.59,26.7,47043
38.61,16.1,22420
39.88,19.18,49825
48.28,14.24,23814
51.6,34.66,20735
41.07,33.94,39779
56.52,28.3,28741
47.17,15.47,27765
47.35,23.87,24567
45.25,17.23,30566
39.87,17.8,35134
41.75,25.77,10208
55.23,15.73,33018
54.95,19.35,25519
39.14,32.92,33378
47.68,13.91,41683
52.5,19.97,22618
45.99,25.4,16151
41.85,23.66,49739
55.1,27.87,32500
60.54,13.75,6252
53.39,22.46,38037
47.34,28.15,27523
47.85,18.81,19821
31.95,31.73,21436
27.49,17.18,38487
46.57,13.57,11855
51.57,12.91,31143
61.93,13.86,25866
59.88,16.39,17100
43.25,12.48,24800
55.67,29.96,20916
54.12,32.53,37369
34.96,26.71,24363
51.75,13.93,38678
39.11,25.73,10850
33.2,30.14,16949
55.57,27.4,29486
32.19,25.36,46115
42.62,21.79,38489
43.39,21.92,5870
59.24,22.65,49369
43.12,22.21,35676
58.1,26.56,36923
47.3,34.31,44390
46.35,17.61,6848
45.15,11.18,39485
48.08,10.45,22888
55.2,29.39,18304
37.2,8.97,30920
46.32,31.5,21061
41.55,32.2,48423
38.69,20.71,14940
39.62,21.49,18233
31.54,16.23,30068
45.26,22.2,25706
50.56,17.59,28383
29.96,36.01,14221
42.35,19.39,6051
46.32,19.66,16939
56.9,20.07,5307
42.41,13.94,32323
67.7,18.9,26689
31.39,30.59,9891
39.83,19.13,17497
57.55,18.04,9567
49.18,28.46,25389
42.51,14.65,15988
45.4,21.7,36521
37.32,18.37,9247
62.52,20.71,24738
44.34,18.27,11305
63.68,27.77,17721
46.15,18.27,31177
33.54,30.79,28929
46.67,31.04,18780
54.05,20.58,33128
50.5,22.7,24309
49.88,18.54,30901
43.7,22.3,40440
33.36,29.64,46430
46.63,20.09,7773
43.69,16.4,47946
56.28,24.79,8783
56.8,15.9,9668
30.27,18.52,25922
61.42,16.34,25316
55.51,25.64,19011
50.51,29.55,10898
43.18,14.1,35663
40.89,26.15,35140
51.81,23.08,46574
57.09,20.95,27484
25.47,17.85,47571
